Entity,Year,barley_attainable,cassava_attainable,cotton_attainable,groundnut_attainable,maize_attainable,millet_attainable,oilpalm_attainable,potato_attainable,rapeseed_attainable,rice_attainable,rye_attainable,sorghum_attainable,soybean_attainable,sugarbeet_attainable,sugarcane_attainable,sunflower_attainable,wheat_attainable,wheat_yield_gap,barley_yield_gap,rye_yield_gap,millet_yield_gap,sorghum_yield_gap,maize_yield_gap,cassava_yield_gap,soybeans_yield_gap,rapeseed_yield_gap,sugarbeet_yield_gap,sugarcane_yield_gap,potato_yield_gap,oilpalm_yield_gap,groundnut_yield_gap,rice_yield_gap,sunflower_yield_gap,cotton_yield_gap
Afghanistan,2011,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.48,1.68,,0.0,,8.76,,,,65.01,0.0,35.81,,,6.159999999999999,0.40000000000000013,2.36
Afghanistan,2012,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.9900000000000002,1.49,,0.0,,8.2,,,,66.01,0.0,34.86,,,6.92,0.3800000000000001,2.26
Afghanistan,2013,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.98,1.44,,0.0,,8.2,,,,62.940000000000005,0.0,32.61,,,6.859999999999999,0.4700000000000002,2.2
Afghanistan,2014,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.98,1.77,,0.0,,7.91,,,,66.45,0.0,32.2,,,6.92,0.0,2.1399999999999997
Afghanistan,2015,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.7999999999999998,1.86,,0.0,,8.25,,,,69.85000000000001,0.0,32.72,,,6.859999999999999,0.2200000000000002,2.16
Afghanistan,2016,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.02,1.9100000000000001,,0.0,,8.350000000000001,,,,70.18,0.0,33.82,,,6.359999999999999,0.31000000000000005,2.21
Afghanistan,2017,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.9700000000000002,1.9000000000000001,,0.0,,9.1,,,,67.55000000000001,0.0,29.830000000000002,,,6.27,0.26,2.21
Afghanistan,2018,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.79,2.62,,0.0,,8.93,,,,50.650000000000006,0.0,26.810000000000002,,,6.359999999999999,0.29000000000000004,2.36
Albania,1961,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.91,5.130000000000001,5.33,,0.0,7.69,,,,55.470000000000006,,26.449999999999996,,,5.3100000000000005,1.0899999999999999,3.6800000000000006
Albania,1962,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.63,5.3100000000000005,5.36,,0.0,7.73,,,,55.470000000000006,,28.229999999999997,,,5.19,1.0899999999999999,3.6300000000000003
