country,elo98,confederation,gdp06,popu06,gdp_source,popu_source
Mozambique,1328,CAF,734.2761797,21587317,World Bank,World Bank
Myanmar,1139,AFC,2575,50500070,IMF,World Bank
Namibia,1348,CAF,7061.349801,2052931,World Bank,World Bank
Nepal,803,AFC,1598.1113,25634043,World Bank,World Bank
Netherlands,1926,UEFA,40434.10001,16346101,World Bank,World Bank
New Caledonia,1243,OFC,27300,235314,CIA (2005),World Bank
New Zealand,1442,OFC,27362.47889,4184600,World Bank,World Bank
Nicaragua,976,CONCACAF,3595.663428,5524927,World Bank,World Bank
Niger,1338,CAF,737.4623368,13679705,World Bank,World Bank
Nigeria,1681,CAF,3994.643445,143314909,World Bank,World Bank
North Korea,1553,AFC,1900,23969917,CIA (2007),World Bank
Northern Ireland,1568,UEFA,28212.02108,1748065,"World Bank's estimate for UK, adjusted per http://en.wikipedia.org/w/index.php?title=Countries_of_the_United_Kingdom_by_GVA_per_capita&oldid=153382497",http://en.wikipedia.org/wiki/Demographics_of_Northern_Ireland#Population
Norway,1878,UEFA,53871.16364,4660677,World Bank,World Bank
Oman,1298,AFC,39531.6006,2554905,World Bank,World Bank
Pakistan,928,AFC,3740.607865,160905794,World Bank,World Bank
Palestine,1281,AFC,3847.806426,3406334,World Bank,World Bank
Panama,1283,CONCACAF,10907.81503,3428509,World Bank,World Bank
Papua New Guinea,1128,OFC,1669.598639,6245797,World Bank,World Bank
Paraguay,1708,CONMEBOL,5671.463275,6014781,World Bank,World Bank
Peru,1692,CONMEBOL,7318.377448,28030688,World Bank,World Bank
Philippines,751,AFC,4557.883234,87366573,World Bank,World Bank
Poland,1625,UEFA,15153.01523,38141267,World Bank,World Bank
Portugal,1846,UEFA,23887.03544,10522288,World Bank,World Bank
