Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Argentina,2024,Total,Male,Ushuaia-Río Grande,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,92360.4378345192,4
Argentina,2024,Total,Female,Bahía Blanca-Cerri,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,166418.142331946,4
Argentina,2024,Total,Female,BUENOS AIRES,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,8181947.17046966,4
Argentina,2024,Total,Female,Catamarca,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,119510.126264043,4
Argentina,2024,Total,Female,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,123583.483159699,4
Argentina,2024,Total,Female,Concordia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,84685.8139289305,4
Argentina,2024,Total,Female,Córdoba,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,831462.933791554,4
Argentina,2024,Total,Female,Corrientes,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,204319.144904888,4
Argentina,2024,Total,Female,Formosa,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,136894.570756918,4
Argentina,2024,Total,Female,La Plata,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,478240.977800159,4
Argentina,2024,Total,Female,La Rioja,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,120078.996318506,4
Argentina,2024,Total,Female,San Luis - El Chorrillo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,127208.143898464,4
Argentina,2024,Total,Female,Mar del Plata-Batán,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,343805.220521078,4
Argentina,2024,Total,Female,Mendoza,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,543381.29627929,4
Argentina,2024,Total,Female,Neuquén-Plottier,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,163964.8708521,4
Argentina,2024,Total,Female,Paraná,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,149510.039728903,4
Argentina,2024,Total,Female,Posadas,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,202539.142879075,4
Argentina,2024,Total,Female,Rawson-Trelew-Playa Unión,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,77803.2253815908,4
Argentina,2024,Total,Female,Resistencia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,220850.621307726,4
Argentina,2024,Total,Female,Río Cuarto,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,95055.6363282469,4
Argentina,2024,Total,Female,Rio Gallegos,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,64541.1729810182,4
Argentina,2024,Total,Female,Rosario,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,699208.797667951,4
Argentina,2024,Total,Female,Salta,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,344988.285909284,4
Argentina,2024,Total,Female,San Juan,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,286035.009439233,4
Argentina,2024,Total,Female,San Nicolás-Villa Constitución,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,101839.705586141,4
Argentina,2024,Total,Female,San Salvador de Jujuy-Palpalá,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,186571.888253929,4
Argentina,2024,Total,Female,Santa Fé,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,285900.70929746,4
Argentina,2024,Total,Female,Santa Rosa-Toay,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,68484.5342482683,4
Argentina,2024,Total,Female,Santiago del Estero-La Banda,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,215776.064119773,4
Argentina,2024,Total,Female,Tucumán-Tafí Viejo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,478183.350933295,4
Argentina,2024,Total,Female,Ushuaia-Río Grande,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,86218.4643097877,4
