name,team,games,category,desc.,year,source
S. Merriman,SD,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2635475
G. Miller,CHI,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000209177/article/chicago-bears-gabe-miller-evan-rodriguez-apologize
J. Miller,CHI,4,PEDs,,1999,http://www.nytimes.com/1999/12/02/sports/pro-football-bears-lose-miller-to-steroid-suspension.html
N. Miller,STL,4,PEDs,,2012,http://profootball.scout.com/story/1159088-nick-miller-suspended-four-games
D. Moch,CIN,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/8048956/dontay-moch-cincinnati-bengals-suspended-four-games-peds
J. Moffitt,CLE,4,PEDs,,2011,http://seattletimes.com/html/seahawksblog/2016949836_seahawksrookiejohnmoffittsuspendedforperformanceenhancingdrugs.html
E. Moore,NYG,4,PEDs,,1993,http://www.nytimes.com/1993/07/30/sports/pro-football-giants-moore-faces-ban-by-nfl.html
S. Morris,MIA,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2568282
M. Neal,GB,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/7682945/nfl-suspends-mike-neal-green-bay-packers-1st-four-games
S. Nealy,MIN,4,PEDs,,2014,http://espn.go.com/nfl/story/_/id/11204290/spencer-nealy-minnesota-vikings-suspended-four-games-ped-use
A. Neblett,CAR,4,PEDs,,2012,http://www.nfl.com/news/story/09000d5d82aa5c20/article/andre-neblett-suspended-four-games-for-ped-violation
K. Newman,ATL,4,PEDs,,2003,http://sports.espn.go.com/espn/wire?id=1606334
A. Odom,CIN,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5687593
C. Pace,NYJ,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4303126
J. Peppers,CAR,4,PEDs,,2002,http://www.nytimes.com/2002/12/04/sports/pro-football-peppers-to-serve-four-game-suspension.html
K. Peterson,DEN,4,PEDs,,2007,http://www.denverpost.com/ci_6314165
L. Petitgout,TB,4,PEDs,,2008,http://tbo.com/sports/sports/2008/aug/20/sp-petitgout-violated-nfl-steroids-policy-ar-136563/
A. Pettis,STL,4,PEDs,,2014,http://www.foxsports.com/nfl/story/St-Louis-Rams-wide-receiver-Austin-Pettis-suspended-four-games-for-NFL-drug-policy-violation-122111?gt1=39002
A. Pinnock,SD,4,PEDs,,2004,http://www.utsandiego.com/news/2004/Nov/10/chargers-fullback-andrew-pinnock-suspended-for/
R. Putzier,SF,4,PEDs,,1989,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
R. Razzano,TB,4,PEDs,,2005,http://sports.espn.go.com/espn/wire?section=nfl&id=2163692
L. Reynolds,JAX,4,PEDs,,2013,http://espn.go.com/nfl/story/_/id/9967595/laroy-reynolds-jacksonville-jaguars-suspended-4-games-positive-test
G. Robinson,ARI,4,PEDs,,2012,http://profootballtalk.nbcsports.com/2012/09/22/gerell-robinson-gets-four-game-suspension/
S. Rogers,DET,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2630061
T. Sash,NYG,4,PEDs,,2012,http://espn.go.com/new-york/nfl/story/_/id/8219721/tyler-sash-new-york-giants-suspended-four-games
T. Sauerbrun,DEN,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2512355
Q. Saulsberry,DEN,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000217875/article/quentin-saulsberry-of-denver-broncos-had-dui-arrest
O. Scandrick,DAL,4,PEDs,MDMA,2014,http://espn.go.com/dallas/nfl/story/_/id/11341354/orlando-scandrick-dallas-cowboys-suspended-four-games-performance-enhancing-drugs
S. Shanle,STL,4,PEDs,,2003,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
D. Shelton,CHI,4,PEDs,,2002,http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html
T.J. Slaughter,JAX,4,PEDs,,2002,http://articles.orlandosentinel.com/2002-09-07/sports/0209070474_1_slaughter-coleman-tennessee-titans
R. Solt,PHI,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
B. Spikes,NE,4,PEDs,,2010,http://sports.espn.go.com/boston/nfl/news/story?id=5906897
S. Springs,SEA,4,PEDs,,2001,http://articles.philly.com/2001-11-28/sports/25320203_1_seahawks-springs-lamar-chapman-browns-president-carmen-policy
J. Steed,PIT,4,PEDs,,1995,http://articles.chicagotribune.com/1995-10-24/sports/9510240320_1_nose-tackle-joel-steed-bernard-williams-nfl
M. Stevens,PHI,4,PEDs,,1997,http://articles.philly.com/2014-07-02/sports/51005838_1_lane-johnson-groveton-linebacker-jake-knott
M. Stroud,JAX,4,PEDs,,2007,http://sports.espn.go.com/nfl/news/story?id=3088185
A. Talib,TB,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000079902/article/aqib-talib-of-buccaneers-suspended-four-games-for-adderall-use
H. Taylor,CHI,4,PEDs,,1999,http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html
H. Thomas,NO,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2687451
J. Thomas,IND,4,PEDs,,2011,http://espn.go.com/nfl/story/_/id/7062953/indianapolis-colts-guard-jaime-thomas-banned-4-games-violating-steroid-policy
R. Tucker,CLE,4,PEDs,,2007,http://www.nfl.com/news/story/09000d5d8012fe77/article/browns-offensive-lineman-ryan-tucker-suspended-4-games-for-violating-nfl-steroid-policy
K. Uecker,GB,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
