ACT Symbol,Company Name,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
AFRU,T,T-REX 2X Long AFRM Daily Target ETF,Z,AFRU,Y,100.0,N,AFRU
AFSM,First Trust Active Factor Small Cap ETF,First Trust Active Factor Small Cap ETF,P,AFSM,Y,100.0,N,AFSM
AG,First Majestic Silver Corp. Ordinary Shares (Canada),First Majestic Silver Corp. Ordinary Shares (Canada),N,AG,N,100.0,N,AG
AGBK,AGI Inc Class A Common Shares,AGI Inc Class A Common Shares,N,AGBK,N,100.0,N,AGBK
AGCO,AGCO Corporation Common Stock,AGCO Corporation Common Stock,N,AGCO,N,100.0,N,AGCO
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N,AGD,N,100.0,N,AGD
AGG,iShares Core U.S. Aggregate Bond ETF,iShares Core U.S. Aggregate Bond ETF,P,AGG,Y,100.0,N,AGG
AGGH,Simplify Aggregate Bond ETF,Simplify Aggregate Bond ETF,P,AGGH,Y,100.0,N,AGGH
AGGS,Harbor Disciplined Bond ETF,Harbor Disciplined Bond ETF,P,AGGS,Y,100.0,N,AGGS
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,P,AGGY,Y,100.0,N,AGGY
AGI,Alamos Gold Inc. Class A Common Shares,Alamos Gold Inc. Class A Common Shares,N,AGI,N,100.0,N,AGI
AGIG,Abundia Global Impact Group Inc. Common stock,Abundia Global Impact Group Inc. Common stock,A,AGIG,N,100.0,N,AGIG
AGIQ,SoFi Agentic AI ETF,SoFi Agentic AI ETF,P,AGIQ,Y,100.0,N,AGIQ
AGL,"agilon health, inc. Common Stock","agilon health, inc. Common Stock",N,AGL,N,100.0,N,AGL
AGM,Federal Agricultural Mortgage Corporation Common Stock,Federal Agricultural Mortgage Corporation Common Stock,N,AGM,N,100.0,N,AGM
AGM$D,Federal Agricultural Mortgage Corporation 5.700% Non,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",N,AGMpD,N,100.0,N,AGM-D
AGM$E,Federal Agricultural Mortgage Corporation 5.750% Non,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",N,AGMpE,N,100.0,N,AGM-E
AGM$F,Federal Agricultural Mortgage Corporation 5.250% Non,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",N,AGMpF,N,100.0,N,AGM-F
AGM$G,Federal Agricultural Mortgage Corporation 4.875% Non,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",N,AGMpG,N,100.0,N,AGM-G
AGM$H,Federal Agricultural Mortgage Corporation 6.500% Non,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H",N,AGMpH,N,100.0,N,AGM-H
AGM$I,Federal Agricultural Mortgage Corporation 6.875% Non,"Federal Agricultural Mortgage Corporation 6.875% Non-Cumulative Preferred Stock, Series I",N,AGMpI,N,100.0,N,AGM-I
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,Federal Agricultural Mortgage Corporation Common Stock,N,AGM.A,N,100.0,N,AGM.A
AGO,Assured Guaranty Ltd. Common Stock,Assured Guaranty Ltd. Common Stock,N,AGO,N,100.0,N,AGO
AGOX,Adaptive Alpha Opportunities ETF,Adaptive Alpha Opportunities ETF,P,AGOX,Y,100.0,N,AGOX
AGQ,ProShares Ultra Silver,ProShares Ultra Silver,P,AGQ,Y,100.0,N,AGQ
AGQI,First Trust Active Global Quality Income ETF,First Trust Active Global Quality Income ETF,P,AGQI,Y,100.0,N,AGQI
AGRH,iShares Interest Rate Hedged U.S. Aggregate Bond ETF,iShares Interest Rate Hedged U.S. Aggregate Bond ETF,P,AGRH,Y,100.0,N,AGRH
