storenum,OPENDATE,date_super,conversion,st,county,STREETADDR,STRCITY,STRSTATE,ZIPCODE,type_store,LAT,LON,MONTH,DAY,YEAR
96,10/1/74,3/1/94,1,29,37,1700 NORTH 291 HIGHWAY,Harrisonville,MO,64701,Supercenter,38.641509,-94.34126,10,1,1974
97,11/1/74,3/1/94,1,47,97,628 HWY 51 BYPASS,Ripley,TN,38063,Supercenter,35.637993,-89.86859,11,1,1974
102,9/1/74,3/1/95,1,5,1,406 E 22ND STREET,Stuttgart,AR,72160,Supercenter,34.479852,-91.53854,9,1,1974
129,7/1/75,3/1/94,1,40,19,1715 NORTH COMMERCE STREET,Ardmore,OK,73401,Supercenter,34.184742,-97.12655,7,1,1975
98,2/1/75,,,22,67,2030 EAST MADISON,Bastrop,LA,71220,Wal-Mart,32.814969,-91.90678,2,1,1975
103,8/1/75,8/25/04,1,40,125,196 SHAWNEE MALL DRIVE,Shawnee,OK,74804,Supercenter,35.375188,-96.93162,8,1,1975
108,2/1/75,,,40,83,1618 SOUTH DIVISION,Guthrie,OK,73044,Wal-Mart,35.857303,-97.43176,2,1,1975
109,2/1/75,3/1/95,1,29,63,2000 NORTH WALNUT,Cameron,MO,64429,Supercenter,39.743859,-94.23378,2,1,1975
111,11/1/75,6/25/03,1,20,133,2700 SOUTH SANTA FE,Chanute,KS,66720,Supercenter,37.666078,-95.45681,11,1,1975
112,4/1/75,3/1/02,1,28,105,1010 HWY 12 WEST,Starkville,MS,39759,Supercenter,33.450215,-88.82383,4,1,1975
113,7/1/75,1/27/06,1,40,51,2001 SO. 1ST ST.,Chickasha,OK,73018,Supercenter,35.040526,-97.94723,7,1,1975
114,4/1/75,,,28,117,200 WALMART CIRCLE,Booneville,MS,38829,Wal-Mart,34.653448,-88.53751,4,1,1975
116,8/1/75,,,22,17,929 SOUTH PINE STREET,Vivian,LA,71082,Wal-Mart,32.849008,-93.97599,8,1,1975
117,6/1/75,,,40,89,501 SOUTH PARK DRIVE,Broken Bow,OK,74728,Wal-Mart,34.142978,-94.80269,6,1,1975
121,9/1/75,3/1/94,1,40,111,1800 SOUTH WOOD DRIVE,Okmulgee,OK,74447,Supercenter,35.628612,-95.9734,9,1,1975
122,11/1/75,3/1/99,1,29,31,3051 EAST JACKSON BLVD.,Jackson,MO,63755,Supercenter,37.413716,-89.65428,11,1,1975
