UNLOCODE,Alternative UNLOCODE,Terminal Code,Terminal Facility Name,Terminal Company Name,Last Change,Valid From,Valid Until,Terminal Website,Terminal Address,Remarks,Coordinates
CLANF,,ATI,ATI ANTOFAGASTA,ANTOFAGASTA TERMINAL INTERNACIONAL S.A.,,2004-05-31,,https://www.atiport.cl/,"Av. Grecia S/N, costado recinto portuario, Antofagasta, Antofagasta Region, Chile",,"-23.65, -70.408056"
CLANF,,EPA,EPA ANTOFAGASTA,EMPRESA PORTUARIA ANTOFAGASTA,,2004-05-31,,https://www.anfport.cl/,"Av. Grecia S/N, Antofagasta, Antofagasta Region, Chile",,"-23.65, -70.404722"
CLARI,,TPA,TERMINAL PACIFICO ARICA,TERMINAL PUERTO ARICA S.A.,,2004-05-31,,https://portal.tpa.cl/,"Av. Máximo Lira 389, Arica, Arica y Parinacota Region, Chile",,"-18.473056, -70.328333"
CLCNL,,CPC,PUERTO CORONEL,PUERTO DE CORONEL S.A.,,2016-09-01,,https://www.puertocoronel.cl,"Av. Carlos Prats 40, Coronel, Biobío Region, Chile",,"-37.033889, -73.152778"
CLCQQ,,TPC,TERMINAL PUERTO COQUIMBO,EMPRESA PORTUARIA COQUIMBO,,2025-02-01,,https://puertocoquimbo.cl/,"Juan Melgarejo 676-678, Coquimbo 1780003, Coquimbo Region, Chile",,"-29.966667, -71.333333"
CLIQQ,,ITI,ITI IQUIQUE,IQUIQUE TERMINAL INTERNACIONAL S.A.,2021-03-01,2004-05-31,,https://www.iti.cl/,"Jorge Barrera, Iquique, Tarapacá Region, Chile",,"-20.204444, -70.156389"
CLLQN,,PLIRQ,PUERTO LIRQUEN,PUERTO DE LIRQUEN S.A.,,2004-05-31,,https://www.dpworld.com/en/lirquen,"Recinto Portuario S/N, Lirquén, Biobío Region, Chile",,"-36.707778, -72.989722"
CLPAG,,PANGA,PUERTO ANGAMOS,COMPANIA PORTUARIA MEJILLONES S.A.,,2004-05-31,,https://www.puertoangamos.cl/en/,"Av. Longitudinal 5500, Barrio Industrial, Mejillones, Antofagasta Region, Chile",,"-23.066667, -70.386667"
CLPUQ,,SMA,TERMINAL SANTOS MARDONES,EPAUSTRAL,2020-01-24,2016-01-25,,https://www.epaustral.cl,"Libertador Bernardo O'Higgins No. 1385, Punta Arenas, Magallanes Region, Chile",,"-53.125556, -70.858611"
CLSAI,,PCE,PUERTO CENTRAL SAN ANTONIO,PUERTO CENTRAL S.A.,,2016-09-16,,https://www.dpworld.com/en/san-antonio,"Alan Macowan 240, San Antonio, Valparaíso Region, Chile",,"-33.591667, -71.616667"
CLSAI,,STI,STI SAN ANTONIO,SAN ANTONIO TERMINAL INTERNACIONAL S.A.,,2004-05-31,,https://www.stiport.com/,"Av. Ramón Barros Luco 1613, Piso 13, San Antonio 2662756, Valparaíso Region, Chile",,"-33.589167, -71.621944"
CLSVE,,SVTI,SVTI SAN VICENTE OCEAN TERMINAL,SAN VICENTE TERMINAL INTERNACIONAL,,2004-05-31,,https://www.svti.cl/,"Av. Latorre 1590, Talcahuano, Biobío Region, Chile",,"-36.730833, -73.137778"
CLVAP,,EPV,EPV VALPARAISO,EMPRESA PORTUARIA DE VALPARAISO,,2004-05-31,,https://www.puertovalparaiso.cl/,"Av. Errázuriz 755, Valparaíso, Valparaíso Region, Chile","Terminal 2, berths 6-8. Operator is ""Terminal Cerros de Valparaíso, S.A. (TCVAL)"".","-33.036944, -71.625833"
CLVAP,,TPS,TPS VALPARAISO,TERMINAL PACIFICO SUR VALPARAISO S.A.,,2004-05-31,,https://www.tps.cl/,"Antonio Varas 2, Valparaíso, Valparaíso Region, Chile","Terminal 1, berths 1-5.","-33.031667, -71.627222"
CMDLA,,RTC,RTC CONTAINER TERMINAL DOUALA,REGIE DU TERMINAL A CONTENEURS (RTC),,2022-03-01,,https://rtcdouala.cm/,"P.O. Box 2686, Bonanjo Centre Des Affaires Maritimes, Douala, Cameroon",3 berths,"4.041944, 9.678611"
CMKBI,,KCT,KRIBI CONTAINER TERMINAL,KRIBI CONTAINER TERMINAL,,2023-09-07,,https://kribi-conteneurs-terminal.com,"BP 132, Kribi, Cameroon",,"2.725833, 9.860278"
CNCGS,,CXCT,CHANGSHU XINGHUA CONTAINER TERMINAL,CHANGSHU XINGHUA PORT CO LTD,,2023-01-01,,http://www.xinghuaport.com/cn/,"No. 1, Xinghuagangqu Road, Changshu, Jiangsu Province, China",,"31.763889, 120.945278"
CNCOZ,,CZP,CHAOZHOU PORT FREIGHT TERMINAL,"CHAOZHOU PORT DEVELOPMENT CO., LTD",,2025-04-01,,http://www.czgwfz.com/,"No. 1, Shugang Avenue, Jingzhou Town, Raoping County, Chaozhou City, Guangdong Province, China",,"23.611111, 116.972222"
