title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Bubble Boy,http://www.imdb.com/title/tt0258470/,US,2001,$5M,Blair Hayes,1,David Vetter,Medicine,Unknown,,0,Male,Jake Gyllenhaal
Buffalo Bill,http://www.imdb.com/title/tt0036677/,US,1944,-,William A. Wellman,1,William Cody,Other,Known,White,0,Male,Joel McCrea
Bugsy,http://www.imdb.com/title/tt0101516/,US,1991,$49.1M,Barry Levinson,1,Ben 'Bugsy' Siegel,Criminal,Known,White,0,Male,Warren Beatty
Burning Blue,http://www.imdb.com/title/tt1811307/,US,2013,-,"D.M.W. Greer With: Trent Ford, Tammy Blanchard, Morgan Spector",1,DMW Greer,Military,Unknown,,0,Male,Trent Ford
Buster,http://www.imdb.com/title/tt0094819/,UK,1988,$540K,David Green,1,Buster Edwards,Criminal,Unknown,,0,Male,Phil Collins
Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/,US,1969,$102M,George Roy Hill,2,Butch Cassidy (Robert Leroy Parker),Criminal,Known,White,0,Male,Paul Newman
Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/,US,1969,$102M,George Roy Hill,2,Harry Longabaugh,Criminal,Known,White,0,Male,Robert Redford
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,$8.13M,Darnell Martin,3,Etta James,Singer,Known,African American,1,Female,BeyoncÌ© Knowles
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,$8.13M,Darnell Martin,3,Muddy Water,Musician,Known,African American,1,Male,Jeffrey Wright
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,$8.13M,Darnell Martin,3,Leonard Chess,Musician,Known,White,0,Male,Adrien Brody
Caesar and Cleopatra,http://www.imdb.com/title/tt0038390/,UK,1945,-,Gabriel Pascal,2,Julius Caesar,Historical,Known,White,0,Male,Claude Rains
Caesar and Cleopatra,http://www.imdb.com/title/tt0038390/,UK,1945,-,Gabriel Pascal,2,Cleopatra,Historical,Known,Middle Eastern,1,Female,Vivien Leigh
