taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
31685,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Cameraria,Cameraria microphylla,Britton,,,,EN,
31686,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Tabernaemontana,Tabernaemontana apoda,C.Wright,,,,EN,Huevo-de-gallo
31687,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Psychotria,Psychotria cathetoneura,Urb.,,,,EN,
31688,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BORAGINALES,CORDIACEAE,Cordia,Cordia valenzuelana,A.Rich.,,,,EN,Ateje hembra
31689,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BIGNONIACEAE,Catalpa,Catalpa brevipes,Urb.,,,,VU,
31690,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,SCHLEGELIACEAE,Synapsis,Synapsis ilicifolia,Griseb.,,,,CR,Chicharrón
31691,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BIGNONIACEAE,Tabebuia,Tabebuia anafensis,Urban,,,,VU,
31694,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BIGNONIACEAE,Tabebuia,Tabebuia jackiana,Ekman ex Urb.,,,,LC,
31698,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Vitex,Vitex acunae,Borhidi &amp; O.Muñiz,,,,VU,
31699,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,JUGLANDACEAE,Juglans,Juglans insularis,Griseb.,,,,VU,
31700,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,OXALIDACEAE,Sarcotheca,Sarcotheca glomerula,(King) Veldkamp,,,,LC,
31701,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Cyathocalyx,Cyathocalyx scortechinii,(King) James Sincl.,,,,LR/cd,
31702,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Disepalum,Disepalum pulchrum,(King) J.Sinclair,,,,LC,
