UID,iso2,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Population
208,DK,208,,,,Denmark,56.2639,9.5018,Denmark,5837213
234,FO,234,,,Faroe Islands,Denmark,61.8926,-6.9118,"Faroe Islands, Denmark",48865
304,GL,304,,,Greenland,Denmark,71.7069,-42.6043,"Greenland, Denmark",56772
9999,,,,,,Diamond Princess,,,Diamond Princess,
262,DJ,262,,,,Djibouti,11.8251,42.5903,Djibouti,988002
212,DM,212,,,,Dominica,15.415,-61.371,Dominica,71991
214,DO,214,,,,Dominican Republic,18.7357,-70.1627,Dominican Republic,10847904
218,EC,218,,,,Ecuador,-1.8312,-78.1834,Ecuador,17643060
818,EG,818,,,,Egypt,26.820553,30.802498,Egypt,102334403
222,SV,222,,,,El Salvador,13.7942,-88.8965,El Salvador,6486201
226,GQ,226,,,,Equatorial Guinea,1.6508,10.2679,Equatorial Guinea,1402985
232,ER,232,,,,Eritrea,15.1794,39.7823,Eritrea,3546427
233,EE,233,,,,Estonia,58.5953,25.0136,Estonia,1326539
748,SZ,748,,,,Eswatini,-26.5225,31.4659,Eswatini,1160164
