Entity,Year,all_species_number,bau_habitat_loss_all,combined_habitat_loss_all,diets_habitat_loss_all,waste_habitat_loss_all,trade_habitat_loss_all,yields_habitat_loss_all,amphibian_species_number,bau_habitat_loss_amphibians,combined_habitat_loss_amphibians,diets_habitat_loss_amphibians,waste_habitat_loss_amphibians,trade_habitat_loss_amphibians,yields_habitat_loss_amphibians,bird_species_number,bau_habitat_loss_birds,combined_habitat_loss_birds,diets_habitat_loss_birds,waste_habitat_loss_birds,trade_habitat_loss_birds,yields_habitat_loss_birds,mammal_species_number,bau_habitat_loss_mammals,combined_habitat_loss_mammals,diets_habitat_loss_mammals,waste_habitat_loss_mammals,trade_habitat_loss_mammals,yields_habitat_loss_mammals,bau_change_cropland_km2,combined_change_cropland_km2,diets_change_cropland_km2,yields_change_cropland_km2,waste_change_cropland_km2,trade_change_cropland_km2,countries_losing_25_species,bau_change_pct,combined_change_pct,diets_change_pct,yields_change_pct,waste_change_pct,trade_change_pct,species_losing_more_25pct,species_losing_more_25pct_yields,species_losing_more_25pct_combined
Costa Rica,2050,1219,-3.890220984,3.442817631,1.246912864,-1.857787199,-4.518204396,-1.024304914,139,-4.373547023,6.042333285,3.037340892,-1.217306353,-6.235797024,-0.019994943,886,-3.602644141,2.858638385,0.885060062,-1.79076071,-4.008497559,-1.236741928,194,-4.857286775,4.248230703,1.616665887,-2.622799091,-5.615394513,-0.773685797,-17.082578,-1986.595821,-1519.242464,-226.19829,-711.781835,388.553008,,-0.343115058,-39.90211199,-30.51500577,-4.543344652,-14.29661645,7.80434826,,,
Cote d'Ivoire,2050,1020,-15.12299177,2.715003496,-11.33957493,-11.92176669,-12.31100401,-0.789123996,64,-34.38812622,4.099097604,-27.91708858,-28.55374334,-28.37683601,-2.115897396,722,-10.52569401,2.381843699,-7.582627422,-8.105349656,-8.636109494,-0.450289176,234,-24.03871988,3.364402431,-18.39750327,-19.14829057,-19.25570738,-1.471710501,166716.4384,-15198.86827,116158.3476,16663.62453,130214.7577,117899.5309,265,215.4847393,-19.64487844,150.1372719,21.53810879,168.3054975,152.3877904,,,
Croatia,2050,470,-0.325261403,6.373667016,3.209766413,2.139370026,-1.065551703,2.864519421,12,1.609838257,8.18410363,6.337284065,4.551501066,-0.053219858,2.881822342,369,-1.336229663,4.556369777,1.47995125,0.583116471,-1.627342471,1.775753879,89,3.605368844,13.66420007,9.960008919,8.266471033,1.127176513,7.376281782,-872.891965,-3425.727174,-2923.401461,-1303.998381,-1791.583774,-242.847054,,-10.17442203,-39.9302496,-34.07514495,-15.1993951,-20.88268669,-2.830623394,,,
Cuba,2050,438,-6.055527703,4.60542265,2.189502569,-2.65622538,-6.238423932,-4.953013849,46,-14.4339169,8.366004993,6.092155243,-7.003669897,-14.41170149,-14.51624446,365,-4.512194525,3.732605877,1.387191409,-1.827709452,-4.725231506,-3.301510703,27,-12.64481313,9.997694292,6.386597021,-6.449775974,-12.76970051,-10.98597829,5367.51551,-6780.9587,-4508.09061,5367.5155,2800.48798,5367.51551,,28.70347182,-36.26203904,-24.10758787,28.70347177,14.97596564,28.70347182,,,
Curacao,2050,127,-4.140325107,2.649627939,0.531580368,-2.010207622,-4.297024127,-2.552843808,2,0,0,0,0,0,0,119,-4.247283535,2.447080395,0.30666225,-2.10325969,-4.411897513,-2.610420724,6,-3.399091304,7.550030204,5.169649817,-0.834744145,-3.451043355,-2.26184958,,,,,,,,,,,,,,,,
Cyprus,2050,388,-1.641743193,4.512699046,1.087814797,0.363518771,-1.945939264,1.879605252,2,-1.248823011,2.185477178,-0.502052728,0.018512934,-1.786051494,2.139550715,358,-1.865959538,4.110041509,0.760779877,-0.030598847,-2.029591638,1.617982254,28,1.196957206,9.827193403,5.382751806,5.427237311,-0.887804466,5.206074624,106.846617,-424.749561,64.2745,-198.840722,-99.404651,196.058807,,10.85452176,-43.15020428,6.529630775,-20.20018044,-10.09849425,19.91756637,,,
Czechia,2050,482,-0.226259209,5.955334006,3.19685202,2.013023715,-0.905105836,2.538757894,12,1.981836967,8.799340117,6.908177436,4.953424151,0.305214374,3.396019712,384,-1.187120683,4.213251929,1.481806441,0.582752143,-1.462973364,1.559498063,86,3.755992555,13.33709499,10.33687059,7.98906416,1.416955656,6.79164898,-2177.66943,-9778.33882,-8813.97141,-5128.16396,-4247.26645,-667.61616,,-10.54670387,-47.35762116,-42.68707871,-24.83628871,-20.57000061,-3.233341958,,,
Democratic Republic of Congo,2050,1713,-12.63804997,2.008740035,-8.557455026,-9.718688642,-9.959505071,0.401853173,145,-16.63106256,1.636022217,-10.59331568,-12.90813467,-13.20682429,1.219989784,1154,-10.20367585,2.041248016,-7.057435013,-7.814139527,-8.065476749,0.305911019,414,-18.02520192,2.048667264,-12.02562725,-13.91042779,-14.10164854,0.382740702,81827.49138,49319.04138,50006.49348,-7635.36038,59332.99618,57717.14298,331,138.3560062,83.38989107,84.55225259,-12.91006176,100.3217409,97.58961512,,,
Denmark,2050,525,-1.217573085,4.774613326,1.956091274,0.791945064,-1.639368352,1.556287846,8,2.700351346,11.68172007,9.199634716,6.563367668,0.527888742,4.58161173,464,-1.79334314,4.056611507,1.126373543,0.067786036,-2.034745743,1.114840605,53,3.231745978,10.01793389,8.126670136,6.260594267,1.494915661,4.964380836,2370.21826,-6062.221814,-4812.41867,2370.21826,187.23964,3875.147,,14.77940972,-37.80076354,-30.00766151,14.77940972,1.167525962,24.16333812,,,
Djibouti,2050,414,-9.183561224,2.784896188,-7.020476563,-6.450116956,-7.220107649,0.603658497,1,0.47982122,-0.036272049,0.11448332,0.281868143,0.181199255,-0.04801099,339,-7.888793571,2.67021323,-5.641421089,-5.435621362,-6.42455012,0.531691119,74,-15.24558307,3.348392014,-13.43445988,-11.1885763,-10.96463885,0.942153238,45.507537,109.24229,243.284565,-26.417211,17.620886,58.611892,68,39.64823379,95.17684627,211.9605662,-23.01587444,15.35211646,51.06534323,,,
